,t_min,t_s,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
0,5.0,300.0,15.0,23.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
1,10.0,600.0,15.0,44.0,27.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
2,15.0,900.0,18.0,66.0,36.0,17.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,24.0,14.0,15.0,15.0,15.0
3,20.0,1200.0,28.0,77.0,46.0,21.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,17.0,36.0,15.0,15.0,15.0,15.0
4,30.0,1800.0,47.0,103.0,70.0,32.0,23.0,22.0,17.0,17.0,15.0,15.0,15.0,15.0,25.0,60.0,16.0,19.0,15.0,15.0
5,40.0,2400.0,64.0,202.0,181.0,48.0,31.0,30.0,24.0,20.0,16.0,15.0,15.0,15.0,36.0,85.0,16.0,20.0,15.0,15.0
6,50.0,3000.0,95.0,247.0,270.0,72.0,49.0,50.0,40.0,30.0,20.0,17.0,20.0,17.0,50.0,110.0,23.0,41.0,16.0,20.0
7,60.0,3600.0,125.0,202.0,225.0,84.0,62.0,56.0,44.0,40.0,26.0,20.0,27.0,20.0,63.0,120.0,32.0,57.0,19.0,27.0
8,70.0,4200.0,127.0,153.0,150.0,90.0,73.0,65.0,50.0,52.0,38.0,23.0,40.0,21.0,74.0,120.0,39.0,78.0,20.0,41.0
9,80.0,4800.0,120.0,135.0,131.0,87.0,81.0,65.0,56.0,65.0,42.0,26.0,46.0,23.0,70.0,110.0,49.0,91.0,23.0,53.0
10,90.0,5400.0,119.0,122.0,120.0,86.0,84.0,66.0,59.0,72.0,48.0,27.0,51.0,27.0,76.0,107.0,54.0,97.0,26.0,66.0
11,110.0,6600.0,110.0,93.0,93.0,82.0,86.0,68.0,64.0,80.0,57.0,34.0,57.0,38.0,73.0,94.0,64.0,103.0,35.0,74.0
12,120.0,7200.0,105.0,90.0,86.0,80.0,86.0,67.0,64.0,83.0,67.0,37.0,57.0,39.0,73.0,90.0,65.0,103.0,38.0,73.0
13,140.0,8400.0,96.0,65.0,72.0,75.0,83.0,67.0,64.0,82.0,64.0,39.0,57.0,43.0,70.0,80.0,71.0,97.0,44.0,77.0
14,160.0,9600.0,88.0,63.0,60.0,62.0,79.0,66.0,62.0,79.0,66.0,37.0,52.0,44.0,65.0,75.0,76.0,93.0,41.0,74.0
15,188.0,11280.0,71.0,59.0,49.0,61.0,74.0,71.0,60.0,75.0,61.0,41.0,51.0,39.0,66.0,70.0,74.0,83.0,45.0,60.0
16,210.0,12600.0,72.0,54.0,45.0,60.0,70.0,66.0,55.0,70.0,59.0,39.0,47.0,39.0,61.0,64.0,70.0,77.0,43.0,56.0
17,230.0,13800.0,66.0,50.0,43.0,62.0,65.0,56.0,54.0,65.0,58.0,38.0,46.0,38.0,59.0,59.0,66.0,71.0,43.0,53.0
18,250.0,15000.0,62.0,48.0,41.0,59.0,62.0,54.0,52.0,61.0,55.0,38.0,43.0,36.0,56.0,56.0,62.0,67.0,41.0,51.0
19,270.0,16200.0,58.0,44.0,38.0,56.0,59.0,52.0,52.0,58.0,53.0,36.0,42.0,35.0,53.0,53.0,59.0,63.0,39.0,48.0
20,290.0,17400.0,55.0,42.0,37.0,54.0,57.0,50.0,46.0,54.0,51.0,36.0,41.0,36.0,50.0,51.0,57.0,59.0,38.0,46.0
21,310.0,18600.0,52.0,42.0,36.0,51.0,53.0,47.0,43.0,52.0,49.0,35.0,39.0,34.0,49.0,49.0,52.0,56.0,36.0,44.0
22,330.0,19800.0,49.0,38.0,35.0,48.0,51.0,49.0,42.0,49.0,45.0,34.0,38.0,34.0,46.0,46.0,50.0,53.0,35.0,41.0
23,350.0,21000.0,46.0,38.0,33.0,45.0,48.0,43.0,39.0,47.0,44.0,33.0,36.0,33.0,44.0,44.0,47.0,50.0,34.0,40.0
24,370.0,22200.0,34.0,36.0,33.0,45.0,45.0,41.0,38.0,45.0,42.0,32.0,35.0,32.0,43.0,42.0,45.0,48.0,33.0,39.0
25,390.0,23400.0,32.0,35.0,31.0,42.0,44.0,40.0,36.0,43.0,42.0,30.0,34.0,31.0,41.0,40.0,44.0,46.0,32.0,38.0
26,410.0,24600.0,30.0,32.0,30.0,40.0,42.0,38.0,35.0,41.0,38.0,31.0,33.0,30.0,39.0,39.0,41.0,43.0,31.0,35.0
27,430.0,25800.0,38.0,32.0,29.0,38.0,40.0,38.0,33.0,39.0,37.0,29.0,32.0,29.0,38.0,38.0,39.0,41.0,30.0,34.0
28,450.0,27000.0,36.0,31.0,28.0,37.0,38.0,36.0,32.0,37.0,36.0,29.0,30.0,28.0,36.0,36.0,38.0,39.0,29.0,33.0
29,470.0,28200.0,34.0,29.0,27.0,34.0,36.0,33.0,31.0,35.0,34.0,28.0,30.0,27.0,34.0,34.0,35.0,37.0,28.0,32.0
30,490.0,29400.0,33.0,29.0,27.0,33.0,35.0,33.0,30.0,35.0,33.0,37.0,29.0,27.0,33.0,33.0,35.0,36.0,31.0,31.0
31,510.0,30600.0,31.0,27.0,26.0,33.0,34.0,31.0,29.0,33.0,32.0,27.0,28.0,26.0,32.0,32.0,33.0,35.0,27.0,32.0
